0-15,9,CM,1,18,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,18,CM,1,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,2,LM,0,22,,,Yes,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,LM,F,2
0-15,2,CM,,,5,Possession Added,,Yes,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,2,CM,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,3,CD,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,19,CD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,3,CM,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,8,CM,1,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,9,CM,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,8,LM,0,7,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,4
0-15,8,CM,,,6,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,8,CM,1,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,2,RM,1,12,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,12,RD,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,19,LD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,3,LM,1,22,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,22,LM,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,3,LM,0,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,8,CM,,,1,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,8,CM,1,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,2,CM,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,19,CM,1,18,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,18,CM,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,19,RM,1,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,9,RM,0,15,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,1,RD,,,0,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,1,LD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,3,CD,1,1,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,4
0-15,1,CM,1,18,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,18,CM,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,8,RA,0,15,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,19,CM,,,2,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,19,CD,1,1,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,1,CM,1,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,2,CD,1,1,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,1,LD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,3,LM,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,8,CM,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,4
0-15,19,CD,1,1,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,5
0-15,1,LD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,3,CD,1,1,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,1,CD,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,19,CA,0,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,Lm,RM,F,3
0-15,2,CM,,,3,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,19,CD,,,1,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,19,CM,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,8,CD,1,3,,, ,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,3,CD,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,19,LD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,3,CM,1,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,2,CD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,3,LM,1,18,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,18,CM,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,8,LM,1,7,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,7,LM,1,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,9,LM,1,22,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,22,CM,1,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,2,CM,Possession Lost,,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,19,CM,,,3,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,19,CM,1,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,9,LA,1,22,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,22,CA,Possession Lost,,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,4
0-15,7,LM,,,4,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,7,CM,1,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,2,LM,1,7,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,7,CD,1,1,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,1,LD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,4
0-15,3,LM,1,22,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,22,LM,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,3,CM,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,8,CM,1,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,2,CM,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,8,LM,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,3,LA,Possession Lost,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,7,LM,,,0,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,3,LM,,,2,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,7,LM,1,18,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,18,CA,0,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,7,LA,1,18,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,18,CA,0,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,7,LA,1,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,9,LA,Possession Lost,7,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,9,LA,,,3,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,9,LM,1,18,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,18,CM,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,19,RA,1,12,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,12,CA,Possession Lost,8,,,Yes,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,4
0-15,19,CD,,,0,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,3,CD,,,1,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,3,LD,1,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,8,LM,1,22,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,22,CM,0,2,,,,Yes,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,7,LD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,3,RD,1,19,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,19,RM,0,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,3
0-15,15,CM,,,,,Yes,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,19,CD,,,7,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,2,LD,,,1,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,2,LD,1,22,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,22,LD,1,7,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,7,LM,1,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,9,CM,0,8,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,19,CD,,,2,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,19,CD,1,1,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,1,CM,0,15,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,22,CD,,,5,Play Disrupted,Yes,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,19,CD,,,0,Play Disrupted,,,,,,Set Piece,25,SOG,0,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,RM,RM,F,
0-15,12,CD,,,1,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,1,CD,,,0,Possession Added,,,,,,Run of Play,10,SOT,0,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,1,LD,1,3,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,3,CD,1,1,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,1,LM,1,7,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,7,LM,0,22,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,7,LM,1,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,9,LA,0,22,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,9,LA,,,0,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,7,LA,Possession Lost,9,,,Yes,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,1,LD,,,10,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,3,LD,,,0,Play Disrupted,Yes,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,2,CD,,,0,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,8,CD,,,0,Play Disrupted,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,15,CM,,,0,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,15,LM,1,9,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,9,CA,0,18,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,2
0-15,12,RM,,,1,Possession Added,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,
0-15,12,RM,0,9,,,,Yes,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
0-15,8,CA,0,2,,,,,,,,,,,,,,,,,,,,,1,7,3,19,12,2,8,18,22,15,9,GK,LB,CB,CB,RB,DCM,DCM,CAM,LM,RM,F,1
